 Generated using https://github.com/tomchavakis/nuget-license, which is itself licensed under the Apache2.0 license
 SilverBot.Shared
 | Reference                                  | Version             | License Type | License                               |
 |-------------------------------------------------------------------------------------------------------------------------|
 | DSharpPlus                                 | 4.3.0-nightly-01175 | MIT          | https://licenses.nuget.org/MIT        |
 | DSharpPlus.CommandsNext                    | 4.3.0-nightly-01175 | MIT          | https://licenses.nuget.org/MIT        |
 | DSharpPlus.Interactivity                   | 4.3.0-nightly-01175 | MIT          | https://licenses.nuget.org/MIT        |
 | DSharpPlus.SlashCommands                   | 4.3.0-nightly-01175 | MIT          | https://licenses.nuget.org/MIT        |
 | DSharpPlus.VoiceNext                       | 4.3.0-nightly-01175 | MIT          | https://licenses.nuget.org/MIT        |
 | Lavalink4NET.DSharpPlus                    | 3.0.0-preview.13    | MIT          | https://licenses.nuget.org/MIT        |
 | Microsoft.EntityFrameworkCore              | 6.0.9               | MIT          | https://licenses.nuget.org/MIT        |
 | Microsoft.EntityFrameworkCore.Design       | 6.0.9               | MIT          | https://licenses.nuget.org/MIT        |
 | Microsoft.EntityFrameworkCore.Proxies      | 6.0.9               | MIT          | https://licenses.nuget.org/MIT        |
 | Microsoft.EntityFrameworkCore.Relational   | 6.0.9               | MIT          | https://licenses.nuget.org/MIT        |
 | Microsoft.EntityFrameworkCore.Sqlite       | 6.0.9               | MIT          | https://licenses.nuget.org/MIT        |
 | Microsoft.EntityFrameworkCore.Tools        | 6.0.9               | MIT          | https://licenses.nuget.org/MIT        |
 | Microsoft.Extensions.ApiDescription.Client | 6.0.9               | MIT          | https://licenses.nuget.org/MIT        |
 | NetVips                                    | 2.2.0               | MIT          | https://licenses.nuget.org/MIT        |
 | NetVips.Native.linux-arm                   | 8.13.2              | MIT          | https://licenses.nuget.org/MIT        |
 | NetVips.Native.linux-arm64                 | 8.13.2              | MIT          | https://licenses.nuget.org/MIT        |
 | NetVips.Native.linux-musl-arm64            | 8.13.2              | MIT          | https://licenses.nuget.org/MIT        |
 | NetVips.Native.linux-musl-x64              | 8.13.2              | MIT          | https://licenses.nuget.org/MIT        |
 | NetVips.Native.linux-x64                   | 8.13.2              | MIT          | https://licenses.nuget.org/MIT        |
 | NetVips.Native.win-x64                     | 8.13.2              | MIT          | https://licenses.nuget.org/MIT        |
 | NetVips.Native.win-x86                     | 8.13.2              | MIT          | https://licenses.nuget.org/MIT        |
 | Serilog                                    | 2.12.0              | Apache-2.0   | https://licenses.nuget.org/Apache-2.0 |
 | Serilog.Extensions.Logging                 | 3.1.0               | Apache-2.0   | https://licenses.nuget.org/Apache-2.0 |
 | Serilog.Sinks.Console                      | 4.1.0               | Apache-2.0   | https://licenses.nuget.org/Apache-2.0 |
 SilverBot
 | Reference                                  | Version          | License Type | License                                                             |
 |----------------------------------------------------------------------------------------------------------------------------------------------------|
 | Fortnite-API-Wrapper                       | 2.3.2            | MIT          | https://www.nuget.org/packages/Fortnite-API-Wrapper/2.3.2/License   |
 | GiphyDotNet                                | 2.4.0            | MIT          | https://www.nuget.org/packages/GiphyDotNet/2.4.0/License            |
 | GitInfo                                    | 2.2.0            | MIT          | https://licenses.nuget.org/MIT                                      |
 | Humanizer                                  | 2.14.1           | MIT          | https://licenses.nuget.org/MIT                                      |
 | IPAddressRange                             | 4.2.0            | MPL-2.0      | https://licenses.nuget.org/MPL-2.0                                  |
